lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,year,status,complaint
2125.0,4000.0,4000.0,0.0,0.0,4000.0,1.0,2.0,85.0,80.0,1.88,1.35,0.0,2.0,24,0,6
2310.0,1328.0,0.0,1328.0,0.0,0.0,1.0,2.0,92.42,30.0,0.57,0.75,0.0,2.0,90,1,8
7930.0,2400.0,0.0,1200.0,0.0,0.0,1.0,1.0,130.0,24.0,0.3,0.5,0.0,1.0,35,0,6
7400.0,32930.0,2000.0,30930.0,0.0,2000.0,1.0,5.0,74.0,74.0,4.45,3.44,0.0,4.8,94,0,6
12675.0,17578.0,17578.0,0.0,0.0,17578.0,1.0,2.0,57.42,57.42,1.39,3.44,3.4,6.5,90,0,6
1937.0,1690.0,0.0,1690.0,0.0,0.0,1.0,3.0,102.49,35.0,0.87,2.0,0.0,2.0,70,0,11
2856.0,1320.0,0.0,1320.0,0.0,0.0,2.0,2.0,114.25,30.0,0.46,1.25,0.0,2.0,105,1,0
10016.0,39000.0,0.0,39000.0,0.0,0.0,1.0,5.0,100.0,88.0,3.89,3.44,0.0,4.8,96,0,11
4750.0,2000.0,0.0,1320.0,0.0,0.0,2.0,2.0,95.0,32.5,0.42,0.75,0.0,2.0,105,0,6
2500.0,2440.0,0.0,2440.0,0.0,0.0,2.0,2.0,100.0,61.0,0.98,0.75,0.0,2.0,100,0,6
1860.0,1860.0,1860.0,0.0,0.0,1860.0,1.0,1.0,60.0,60.0,1.0,3.44,0.0,4.8,88,0,9
7500.0,2128.0,0.0,2128.0,0.0,0.0,1.0,2.0,100.0,52.0,0.28,2.43,0.0,4.8,110,0,6
2625.0,2914.0,0.0,1876.0,0.0,0.0,1.0,2.0,125.0,51.5,1.11,0.75,0.0,2.0,60,0,6
5282.0,3020.0,0.0,3020.0,0.0,0.0,1.0,3.0,138.42,38.0,0.57,0.5,0.0,1.0,85,1,11
1887.0,1816.0,0.0,1816.0,0.0,0.0,2.0,2.0,98.99,45.0,0.96,2.43,0.0,4.8,110,0,6
1842.0,6785.0,0.0,6785.0,0.0,0.0,1.0,4.0,23.0,59.0,3.68,2.43,0.0,4.8,12,0,11
1738.0,2125.0,0.0,1480.0,0.0,0.0,1.0,2.0,75.0,43.0,1.22,0.75,0.0,2.0,55,0,6
2540.0,1703.0,0.0,1703.0,0.0,0.0,2.0,2.0,121.67,36.0,0.67,0.75,0.0,2.0,119,0,6
5000.0,25200.0,0.0,25200.0,0.0,0.0,1.0,6.0,100.0,84.0,5.04,3.44,0.0,4.8,83,0,6
2565.0,1260.0,0.0,1260.0,0.0,0.0,1.0,2.0,95.0,35.33,0.49,0.75,0.0,2.0,70,0,6
5250.0,19400.0,0.0,19400.0,0.0,0.0,1.0,5.0,104.42,92.0,3.7,3.44,0.0,4.8,89,0,6
2758.0,2900.0,0.0,2900.0,0.0,0.0,1.0,3.0,100.0,50.0,1.05,0.5,0.0,1.0,55,0,9
2968.0,2684.0,2684.0,0.0,0.0,2684.0,1.0,1.0,61.22,61.17,0.9,2.43,0.0,4.8,95,0,6
3800.0,1655.0,0.0,1655.0,0.0,0.0,1.0,2.0,95.0,30.0,0.44,1.1,0.0,2.0,90,0,6
5100.0,3654.0,0.0,3654.0,0.0,0.0,1.0,3.0,100.0,58.0,0.72,2.43,0.0,4.8,110,0,6
2500.0,2070.0,0.0,1440.0,0.0,0.0,1.0,2.0,100.0,36.0,0.83,0.75,0.0,2.0,70,0,8
2044.0,2100.0,1050.0,1050.0,0.0,1050.0,1.0,2.0,81.75,50.0,1.03,4.0,0.0,4.0,105,1,2
16509.0,450.0,450.0,0.0,0.0,0.0,1.0,1.0,102.89,20.0,0.03,2.43,0.0,4.8,48,0,6
3742.0,2337.0,0.0,1628.0,0.0,0.0,1.0,2.0,100.0,37.42,0.62,0.75,0.0,2.0,55,0,11
20000.0,49135.0,0.0,49135.0,0.0,0.0,1.0,5.0,200.0,127.0,2.46,3.44,0.0,4.8,94,0,6
1570.0,2889.0,953.0,1936.0,0.0,953.0,1.0,3.0,78.5,40.0,1.84,6.02,0.0,6.5,89,0,6
1438.0,1512.0,0.0,1512.0,0.0,0.0,1.0,2.0,87.17,44.0,1.05,3.44,0.0,4.8,119,0,11
2400.0,2656.0,0.0,1744.0,0.0,0.0,2.0,2.0,100.0,32.0,1.11,3.44,0.0,4.8,100,0,9
2375.0,4012.0,2006.0,2006.0,0.0,2006.0,1.0,2.0,95.0,50.0,1.69,4.0,0.0,4.0,93,0,6
4370.0,3432.0,0.0,3432.0,0.0,0.0,1.0,3.0,147.13,52.0,0.79,0.75,0.0,2.0,31,0,6
10015.0,2255.0,2255.0,0.0,0.0,0.0,1.0,1.0,100.15,55.0,0.23,0.75,0.0,2.0,88,0,11
2810.0,1704.0,0.0,1143.0,0.0,0.0,1.0,1.75,112.42,37.0,0.61,0.75,0.0,2.0,80,0,6
2500.0,1588.0,0.0,1588.0,0.0,0.0,1.0,2.5,100.0,28.0,0.64,1.1,0.0,2.0,100,0,9
1425.0,1653.0,0.0,1653.0,0.0,0.0,1.0,2.0,57.0,34.0,1.16,0.75,0.0,2.0,90,0,12
2500.0,2480.0,0.0,2480.0,0.0,0.0,2.0,2.0,100.0,62.0,0.99,2.43,0.0,4.8,95,0,6
2325.0,1295.0,0.0,1295.0,0.0,0.0,2.0,2.0,75.67,38.0,0.56,0.75,0.0,2.0,100,1,11
2375.0,1194.0,0.0,1194.0,0.0,0.0,2.0,2.0,95.0,33.0,0.5,0.75,0.0,2.0,90,0,6
2970.0,3800.0,0.0,2400.0,0.0,0.0,2.0,2.0,90.0,43.17,1.28,3.0,0.0,3.0,100,0,2
1500.0,1870.0,0.0,1360.0,0.0,0.0,1.0,2.0,75.0,34.0,1.25,0.75,0.0,2.0,65,0,6
2000.0,3078.0,0.0,3078.0,0.0,0.0,1.0,3.0,100.0,54.0,1.54,2.43,0.0,4.8,105,0,6
1651.0,1081.0,0.0,1081.0,0.0,0.0,1.0,2.0,100.08,30.0,0.65,6.02,0.0,6.5,110,0,6
3823.0,1494.0,0.0,1494.0,0.0,0.0,1.0,2.0,122.67,38.0,0.39,0.5,0.0,1.0,95,0,5
4223.0,2134.0,0.0,2134.0,0.0,0.0,2.0,2.0,100.0,42.9,0.51,1.25,0.0,2.0,100,0,11
2500.0,3086.0,0.0,3086.0,0.0,0.0,1.0,2.0,100.0,68.0,1.23,3.44,0.0,4.8,121,0,6
2114.0,3232.0,0.0,3232.0,0.0,0.0,1.0,3.0,95.0,52.0,1.53,1.1,0.0,2.0,50,0,6
2500.0,1096.0,0.0,1096.0,0.0,0.0,1.0,2.0,100.0,28.0,0.44,0.75,0.0,2.0,121,0,6
3505.0,2800.0,2800.0,0.0,0.0,0.0,1.0,1.0,87.67,40.0,0.8,0.0,1.0,2.4,48,0,6
6675.0,32400.0,3125.0,29275.0,0.0,3125.0,1.0,6.0,88.58,72.0,4.85,3.0,0.0,3.0,100,1,12
3418.0,349.0,349.0,0.0,0.0,349.0,1.0,1.0,101.48,18.0,0.1,5.0,4.0,5.0,16,0,6
2500.0,2560.0,0.0,2560.0,0.0,0.0,1.0,2.0,100.0,64.0,1.02,0.75,0.0,2.0,90,0,6
4200.0,2950.0,0.0,2150.0,0.0,0.0,1.0,2.0,60.0,36.0,0.7,0.5,0.0,1.0,82,1,9
5000.0,1306.0,0.0,1306.0,0.0,0.0,1.0,1.67,100.0,23.0,0.26,0.75,0.0,2.0,78,0,6
2500.0,3293.0,0.0,3293.0,0.0,0.0,1.0,2.0,100.0,80.0,1.32,2.43,0.0,4.8,93,0,6
2900.0,2950.0,0.0,2950.0,0.0,0.0,1.0,3.0,100.0,50.0,1.02,1.25,0.0,2.0,45,0,10
5387.0,5340.0,5340.0,0.0,0.0,5340.0,1.0,1.0,60.0,60.0,0.99,2.43,0.0,4.8,100,0,6
2220.0,2772.0,0.0,2772.0,0.0,0.0,1.0,3.0,99.42,41.0,1.25,1.25,0.0,2.0,22,0,6
2500.0,3465.0,0.0,3465.0,0.0,0.0,1.0,3.0,100.0,55.0,1.39,2.43,0.0,4.8,80,0,0
3325.0,1892.0,0.0,1892.0,0.0,0.0,1.0,2.0,100.0,47.75,0.57,2.0,0.0,2.0,80,0,0
2500.0,1598.0,0.0,1598.0,0.0,0.0,2.0,2.0,100.0,39.0,0.64,0.75,0.0,2.0,100,0,9
2655.0,3402.0,0.0,3402.0,0.0,0.0,1.0,3.0,114.55,50.0,1.28,2.43,0.0,4.8,14,0,6
2300.0,1224.0,0.0,1224.0,0.0,0.0,1.0,2.0,100.0,33.0,0.53,0.75,0.0,2.0,80,0,6
3145.0,1476.0,0.0,1476.0,0.0,0.0,2.0,2.0,93.42,38.0,0.47,0.5,0.0,1.0,95,0,6
2500.0,1625.0,1625.0,0.0,0.0,1625.0,1.0,1.0,100.0,65.0,0.65,3.44,0.0,4.8,89,0,11
2500.0,2448.0,0.0,2448.0,0.0,0.0,1.0,2.0,100.0,60.0,0.98,1.25,0.0,2.0,90,0,6
2500.0,2500.0,2500.0,0.0,0.0,2500.0,1.0,1.0,100.0,97.0,1.0,4.0,4.0,4.0,89,0,6
22800.0,62035.0,0.0,62035.0,0.0,0.0,2.0,7.0,114.0,90.0,2.72,1.1,0.0,2.0,22,0,6
3192.0,2400.0,0.0,1600.0,0.0,0.0,1.0,2.0,127.67,40.0,0.75,0.75,0.0,2.0,95,0,6
1883.0,2916.0,0.0,2916.0,0.0,0.0,1.0,3.0,100.0,51.67,1.55,3.44,0.0,4.8,23,0,6
13700.0,9887.0,9887.0,0.0,0.0,0.0,4.0,1.0,163.0,71.0,0.72,0.0,5.0,6.5,89,0,6
3400.0,500.0,500.0,0.0,0.0,0.0,1.0,1.0,28.67,25.0,0.15,0.0,1.0,2.4,70,0,6
1663.0,2445.0,0.0,1630.0,0.0,0.0,1.0,2.0,100.0,53.0,1.47,3.0,2.0,3.0,100,0,11
2871.0,3062.0,0.0,3062.0,0.0,0.0,1.0,2.75,98.58,50.0,1.07,0.75,0.0,2.0,110,0,6
1783.0,1760.0,1760.0,0.0,0.0,1760.0,2.0,1.0,88.17,88.0,0.99,0.5,0.0,1.0,95,0,11
5000.0,2149.0,0.0,2149.0,0.0,0.0,2.0,2.0,100.0,52.0,0.43,1.25,0.0,2.0,100,0,6
11356.0,38216.0,0.0,38216.0,0.0,0.0,1.0,6.0,107.17,50.0,3.37,3.44,0.0,4.8,13,0,9
2500.0,2440.0,0.0,2440.0,0.0,0.0,1.0,2.0,100.0,64.0,0.98,2.43,3.4,4.8,100,0,5
1600.0,1440.0,0.0,960.0,0.0,0.0,1.0,2.0,100.0,30.0,0.9,1.25,0.0,2.0,60,0,8
4280.0,2615.0,0.0,2615.0,0.0,0.0,1.0,2.5,111.67,42.0,0.61,0.75,0.0,2.0,121,0,2
3267.0,2384.0,0.0,1672.0,0.0,0.0,1.0,2.0,125.67,44.0,0.73,0.75,0.0,2.0,60,0,6
8307.0,8640.0,8640.0,0.0,0.0,0.0,1.0,1.0,96.89,96.0,1.04,0.0,2.0,6.5,90,0,12
3173.0,1900.0,0.0,1900.0,0.0,0.0,1.0,3.0,109.42,50.0,0.6,0.75,0.0,2.0,65,0,9
12009.0,42490.0,0.0,42490.0,0.0,0.0,1.0,5.0,105.0,90.0,3.54,1.1,0.0,2.0,92,0,11
14444.0,58057.0,0.0,58057.0,0.0,0.0,1.0,5.0,95.06,72.58,4.02,3.44,0.0,4.8,91,0,6
1992.0,1976.0,1976.0,0.0,0.0,1976.0,1.0,1.0,93.26,76.0,0.99,3.44,0.0,4.8,100,1,9
2500.0,3250.0,0.0,3250.0,0.0,0.0,1.0,3.0,100.0,51.0,1.3,2.43,0.0,4.8,55,1,4
22500.0,1875.0,1875.0,0.0,0.0,0.0,3.0,1.0,200.0,75.0,0.08,0.0,2.0,0.0,89,0,6
2220.0,3477.0,0.0,3477.0,0.0,0.0,1.0,3.0,100.0,51.7,1.57,3.44,0.0,4.8,15,1,6
2550.0,2811.0,0.0,1974.0,0.0,0.0,1.0,2.0,100.0,47.0,1.1,0.75,0.0,2.0,80,0,6
73172.0,97000.0,97000.0,0.0,0.0,0.0,2.0,2.0,358.67,385.25,1.33,3.44,0.0,4.8,51,1,11
2381.0,1624.0,0.0,1624.0,0.0,0.0,1.0,2.0,95.25,48.0,0.68,0.75,0.0,2.0,50,0,6
2500.0,3507.0,0.0,3507.0,0.0,0.0,2.0,2.75,100.25,48.0,1.4,0.75,0.0,2.0,100,0,9
2500.0,3050.0,0.0,2440.0,0.0,0.0,1.0,2.0,100.0,67.0,1.22,0.75,0.0,2.0,95,0,1
2544.0,1760.0,0.0,1760.0,0.0,0.0,2.0,2.0,101.75,40.0,0.69,0.75,0.0,2.0,100,0,6
3700.0,2160.0,0.0,2160.0,0.0,0.0,1.0,2.75,100.0,40.0,0.58,3.0,0.0,3.0,95,0,8
2164.0,3132.0,0.0,3132.0,0.0,0.0,1.0,3.0,98.37,47.5,1.45,3.44,0.0,6.5,18,1,11
4330.0,1265.0,0.0,1265.0,0.0,0.0,2.0,2.0,108.25,30.0,0.29,0.5,0.0,1.0,119,0,1
1600.0,1440.0,0.0,960.0,0.0,0.0,1.0,2.0,100.0,30.0,0.9,0.75,0.0,2.0,70,0,6
12500.0,47058.0,8000.0,39058.0,0.0,8000.0,1.0,6.0,100.0,90.0,3.76,7.52,0.0,7.5,95,0,11
1706.0,3917.0,2300.0,1617.0,0.0,2300.0,1.0,2.0,81.25,77.0,2.3,3.44,0.0,4.8,110,0,6
98600.0,684900.0,105829.0,579071.0,0.0,49218.0,5.0,8.0,202.0,0.0,6.95,5.0,0.0,5.0,11,0,6
3268.0,3660.0,0.0,3660.0,0.0,0.0,1.0,3.0,87.33,54.0,1.12,0.75,0.0,2.0,18,0,0
2375.0,1920.0,0.0,1920.0,0.0,0.0,2.0,2.0,95.0,48.0,0.81,1.1,0.0,2.0,94,0,6
4025.0,1932.0,0.0,1932.0,0.0,0.0,1.0,2.5,110.0,25.0,0.48,0.5,0.0,1.0,17,0,0
3896.0,4794.0,4794.0,0.0,0.0,0.0,1.0,3.0,111.58,68.0,1.23,3.44,0.0,4.8,95,0,11
2500.0,1650.0,0.0,1440.0,0.0,0.0,1.0,2.0,100.0,36.0,0.66,1.25,0.0,2.0,65,0,6
5164.0,2320.0,2320.0,0.0,0.0,0.0,1.0,1.0,66.08,80.0,0.45,0.0,1.0,2.4,73,0,6
2542.0,3564.0,1144.0,2420.0,1144.0,0.0,1.0,2.0,100.0,58.0,1.4,0.75,0.0,2.0,70,0,10
1702.0,3120.0,0.0,3120.0,0.0,0.0,1.0,3.0,92.0,52.0,1.83,3.44,0.0,4.8,16,0,6
2500.0,3720.0,0.0,2480.0,0.0,0.0,2.0,2.0,100.0,62.0,1.49,1.35,0.0,2.0,100,0,6
2500.0,1373.0,0.0,1373.0,0.0,0.0,2.0,2.0,100.0,38.0,0.55,0.75,0.0,2.0,100,0,6
2079.0,3126.0,0.0,3126.0,0.0,0.0,1.0,3.0,82.25,52.6,1.5,3.44,0.0,4.8,15,1,11
