zipcode_left,latitude_left,longitude_left,address_left,lot,zipcode_right,lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,yearbuilt,yearalter1,builtfar,residfar,commfar,facilfar,latitude_right,longitude_right,address_right
10468.0,40.859711989183566,-73.9019581250828,WALTON AVENUE,35,10470.0,5000.0,3862.0,0.0,3862.0,0.0,0.0,2.0,2.5,100.0,73.0,1901.0,0.0,0.77,0.75,0.0,2.0,40.9007441351622,-73.8655794288072, MARTHA AVENUE
10458.0,40.872622448417104,-73.88358881652603,BRIGGS AVENUE,19,10470.0,4358.0,17284.0,0.0,17284.0,0.0,0.0,1.0,7.0,100.0,65.0,2008.0,2007.0,3.97,4.0,0.0,4.0,40.898547866632704,-73.8628022211834, EAST  STREET
10467.0,40.88089877995471,-73.88195062087979,DEKALB AVENUE,59,10470.0,2333.0,1728.0,0.0,1728.0,0.0,0.0,1.0,2.0,93.33,40.17,1920.0,0.0,0.74,0.75,0.0,2.0,40.9026318395208,-73.86740242387891, EAST  STREET
10457.0,40.848514456073545,-73.89069736881177,HUGHES AVENUE,45,10461.0,1800.0,1638.0,0.0,1152.0,0.0,0.0,1.0,2.0,100.0,32.0,1955.0,0.0,0.91,0.75,0.0,2.0,40.8367423977612,-73.83721338007591, BALCOM AVENUE
10454.0,40.81206366545119,-73.91569450379949,EAST   STREET,38,10466.0,1729.0,1785.0,0.0,1785.0,0.0,0.0,1.0,3.0,97.42,35.0,1960.0,0.0,1.03,0.75,0.0,2.0,40.8957389341549,-73.8425668552574, WILDER AVENUE
10463.0,40.880061083454045,-73.90514293848292,GODWIN TERRACE,129,10467.0,14162.0,46051.0,1050.0,45000.0,0.0,1050.0,1.0,5.0,97.67,82.67,1926.0,0.0,3.25,3.44,0.0,4.8,40.880227429612496,-73.88306922833542, EAST  STREET
10455.0,40.816478128022034,-73.90969894574417,CAULDWELL AVENUE,28,10463.0,4000.0,6388.0,6388.0,0.0,4259.0,0.0,1.0,3.0,100.0,90.0,1987.0,1994.0,1.6,2.43,0.0,4.8,40.8792709931809,-73.9023559921846, ALBANY CRESCENT
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,44,10469.0,2442.0,1960.0,0.0,1960.0,0.0,0.0,1.0,2.0,100.0,49.0,1950.0,0.0,0.8,0.75,0.0,2.0,40.8689377769157,-73.8493083575098, WILSON AVENUE
10468.0,40.8664950875277,-73.89674905894428,MORRIS AVENUE,43,10470.0,2200.0,1940.0,0.0,1940.0,0.0,0.0,1.0,2.0,100.0,50.0,1901.0,0.0,0.88,0.75,0.0,2.0,40.9002940294026,-73.86559842573041, MARTHA AVENUE
10468.0,40.867734818071455,-73.89577816627856,MORRIS AVENUE,33,10462.0,1800.0,1800.0,0.0,1260.0,0.0,0.0,1.0,2.0,100.0,35.0,1950.0,0.0,1.0,0.75,0.0,2.0,40.844301419993,-73.8558409564407, BOGART AVENUE
10463.0,40.8768091051512,-73.90242831254987,HEATH AVENUE,7,10473.0,3368.0,1344.0,0.0,1344.0,0.0,0.0,2.0,2.0,90.0,28.0,1940.0,0.0,0.4,0.5,0.0,1.0,40.82196496318209,-73.8494291812933, HOMER AVENUE
10466.0,40.889088638346855,-73.85300597938615,BRONXWOOD AVENUE,5,10466.0,4800.0,2568.0,0.0,1392.0,0.0,0.0,1.0,1.5,100.0,52.0,1930.0,0.0,0.54,0.75,0.0,2.0,40.8975580437812,-73.84012095215309, PITMAN AVENUE
10468.0,40.86515417644589,-73.89508805180566,GRAND CONCOURSE,70,10467.0,5814.0,3232.0,0.0,3232.0,0.0,0.0,1.0,3.0,114.0,52.0,1970.0,0.0,0.56,1.25,0.0,2.0,40.8815330210314,-73.86235998122521, EAST  STREET
10469.0,40.87741129332339,-73.84767276501098,CORSA AVENUE,1501,10471.0,2500.0,1386.0,0.0,1386.0,0.0,0.0,2.0,2.5,100.0,31.0,1925.0,0.0,0.55,0.5,0.0,1.0,40.911321024933706,-73.89958098623991, WEST  STREET
10470.0,40.89925849440402,-73.8536309792728,WHITE PLAINS ROAD,45,10469.0,2500.0,2080.0,0.0,2080.0,0.0,0.0,2.0,2.0,100.0,55.0,1940.0,0.0,0.83,1.25,0.0,2.0,40.8701037196246,-73.85975503790709, COLDEN AVENUE
10468.0,40.863974007488046,-73.89820995792564,EAST   STREET,150,10467.0,7875.0,55600.0,0.0,55600.0,0.0,0.0,1.0,6.0,100.0,87.0,1928.0,0.0,7.06,4.0,0.0,4.0,40.8762283882694,-73.880367866739, ROCHAMBEAU AVENUE
10459.0,40.82597676747543,-73.88696212323931,LOWELL STREET,1191,10471.0,10075.0,45848.0,16518.0,29330.0,0.0,6843.0,2.0,6.0,103.74,64.0,2014.0,0.0,4.55,2.43,0.0,4.8,40.8949494424323,-73.8969544351635, BROADWAY
10456.0,40.82921526535049,-73.9083049321874,GOUVERNEUR PLACE,1490,10471.0,5000.0,1404.0,0.0,1404.0,0.0,0.0,2.0,2.0,100.0,36.0,1935.0,0.0,0.28,0.5,0.0,1.0,40.9111720003008,-73.89865140742009, WEST  STREET
10457.0,40.8565981915876,-73.90043359312169,GRAND CONCOURSE,105,10466.0,1716.0,2166.0,0.0,2166.0,0.0,0.0,1.0,3.0,88.0,37.0,1998.0,0.0,1.26,0.75,0.0,2.0,40.8846530833559,-73.83467664377541, HARPER COURT
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,14,10470.0,3729.0,2484.0,0.0,2484.0,0.0,0.0,2.0,2.0,115.42,54.0,1925.0,0.0,0.67,1.25,0.0,2.0,40.906324205416105,-73.8479863490727, EAST  STREET
10453.0,40.854552826862786,-73.91334161328295,ANDREWS AVENUE SOUTH,79,10472.0,1854.0,1224.0,0.0,1224.0,0.0,0.0,1.0,2.0,103.0,34.0,1960.0,0.0,0.66,1.25,0.0,2.0,40.8278028644026,-73.85577914003291, CHATTERTON AVENUE
10460.0,40.83728097949399,-73.88567443877005,VYSE AVENUE,45,10465.0,2500.0,3430.0,0.0,2420.0,0.0,0.0,1.0,2.0,100.0,60.0,2001.0,0.0,1.37,0.5,0.0,1.0,40.8279630484379,-73.8212094540328, LOGAN AVENUE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,60,10462.0,2125.0,3330.0,0.0,2220.0,0.0,0.0,1.0,2.0,85.0,52.0,1910.0,0.0,1.57,1.25,0.0,2.0,40.8464433745329,-73.8658373484609, HUNT AVENUE
10462.0,40.850794587937656,-73.86653703997725,BRONXDALE AVENUE,14,10469.0,2500.0,1520.0,0.0,1520.0,0.0,0.0,2.0,2.0,100.0,35.0,1950.0,0.0,0.61,0.75,0.0,2.0,40.8604477211523,-73.85088572777691, THROOP AVENUE
10452.0,40.836587768244534,-73.91961337374968,GERARD AVENUE,22,10462.0,2060.0,2180.0,0.0,1520.0,0.0,0.0,1.0,2.0,103.0,43.0,1965.0,0.0,1.06,1.25,0.0,2.0,40.8329954745145,-73.84695415247509, ELLIS AVENUE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,5,10462.0,2500.0,3256.0,3256.0,0.0,3256.0,0.0,1.0,2.0,100.0,60.0,1925.0,0.0,1.3,0.75,0.0,2.0,40.8476974055249,-73.8564661279475, MORRIS PARK AVENUE
10461.0,40.84951146711281,-73.85409467465762,LURTING AVENUE,27,10469.0,2500.0,2494.0,0.0,2494.0,0.0,0.0,1.0,2.0,100.0,63.0,1925.0,0.0,1.0,0.75,0.0,2.0,40.8669775918695,-73.8553760143167, LACONIA AVENUE
10470.0,40.901317206845796,-73.86273139185647,VIREO AVENUE,80,10472.0,1794.0,1585.0,0.0,1585.0,0.0,0.0,1.0,3.0,103.0,35.0,1955.0,0.0,0.88,1.25,0.0,2.0,40.829944527539396,-73.8564068604044, HAVILAND AVENUE
10451.0,40.82132866634432,-73.91410025930466,EAST   STREET,57,10452.0,5736.0,0.0,,,,,0.0,0.0,115.0,0.0,0.0,0.0,0.0,3.44,0.0,4.8,40.836649161388,-73.9252545363068, WOODYCREST AVENUE
10463.0,40.876572318701506,-73.90155358038012,ALBANY CRESCENT,88,10458.0,3152.0,0.0,,,,,2.0,0.0,126.0,0.0,0.0,0.0,0.0,6.02,0.0,6.5,40.8735944733667,-73.88402825089841, EAST  STREET
10452.0,40.836120234138974,-73.92644046748502,NELSON AVENUE,41,10466.0,1788.0,1690.0,0.0,1690.0,0.0,0.0,1.0,3.0,97.5,35.0,1960.0,0.0,0.95,0.75,0.0,2.0,40.895812571300795,-73.84222305806891, MURDOCK AVENUE
