lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,years,status,complaint_type
2790.0,1336.0,0.0,1336.0,0.0,0.0,1.0,2.0,114.67,36.0,0.48,0.75,0.0,2.0,110,1,1
6000.0,2000.0,0.0,2000.0,0.0,0.0,2.0,2.0,120.0,54.0,0.33,0.5,0.0,1.0,80,1,0
17500.0,71500.0,2000.0,69500.0,2000.0,0.0,1.0,6.0,100.0,73.0,4.09,2.0,0.0,2.0,59,1,1
2500.0,3025.0,0.0,2200.0,0.0,0.0,1.0,2.0,100.0,55.0,1.21,0.75,0.0,2.0,65,1,0
2575.0,1482.0,0.0,1482.0,0.0,0.0,1.0,2.0,103.0,40.0,0.58,1.25,0.0,2.0,90,1,1
2792.0,2270.0,0.0,2270.0,0.0,0.0,1.0,3.0,94.99,41.5,0.81,0.75,0.0,2.0,21,1,0
2375.0,1412.0,0.0,1412.0,0.0,0.0,2.0,2.0,95.0,32.0,0.59,0.75,0.0,2.0,100,1,0
3000.0,3110.0,0.0,3110.0,0.0,0.0,2.0,3.0,100.0,55.0,1.04,1.1,0.0,2.0,90,0,1
2500.0,3465.0,0.0,2310.0,0.0,0.0,2.0,2.5,100.0,54.0,1.39,1.1,0.0,2.0,95,1,0
4871.0,1520.0,0.0,1520.0,0.0,0.0,2.0,2.5,97.42,41.0,0.31,0.75,0.0,2.0,105,1,1
2162.0,2392.0,0.0,2392.0,0.0,0.0,1.0,3.0,94.0,52.0,1.11,1.25,0.0,2.0,31,1,0
2113.0,1106.0,0.0,1106.0,0.0,0.0,1.0,1.5,95.0,37.0,0.52,1.25,0.0,2.0,90,1,0
2452.0,2572.0,0.0,2572.0,0.0,0.0,1.0,3.0,95.01,50.0,1.05,0.75,0.0,2.0,16,0,1
2202.0,3300.0,825.0,2475.0,0.0,825.0,2.0,3.0,88.08,55.0,1.5,3.44,0.0,4.8,89,1,1
2150.0,938.0,0.0,938.0,0.0,0.0,1.0,1.0,100.0,42.0,0.44,0.5,0.0,1.0,75,1,0
2150.0,1641.0,0.0,938.0,0.0,0.0,2.0,1.0,100.0,42.0,0.76,0.5,0.0,1.0,75,1,0
2500.0,1748.0,0.0,1748.0,0.0,0.0,2.0,2.0,100.0,42.0,0.7,0.75,0.0,2.0,90,1,0
3800.0,3216.0,0.0,3216.0,0.0,0.0,1.0,2.0,95.0,67.0,0.85,3.44,0.0,4.8,100,1,1
3750.0,4200.0,0.0,2800.0,0.0,0.0,1.0,2.0,150.0,70.0,1.12,0.5,0.0,1.0,90,1,0
2856.0,1698.0,0.0,1698.0,0.0,0.0,1.0,3.0,114.25,30.0,0.59,1.1,0.0,2.0,95,1,0
3433.0,1664.0,0.0,1664.0,0.0,0.0,2.0,2.0,114.42,40.0,0.48,0.75,0.0,2.0,110,1,1
2220.0,3477.0,0.0,3477.0,0.0,0.0,1.0,3.0,100.0,51.7,1.57,3.44,0.0,4.8,15,1,1
4004.0,2020.0,0.0,2020.0,0.0,0.0,1.0,2.0,141.25,55.0,0.5,1.25,0.0,2.0,60,1,0
2393.0,2230.0,0.0,2230.0,0.0,0.0,1.0,2.0,98.0,50.0,0.93,2.43,0.0,4.8,100,1,1
2375.0,2000.0,0.0,2000.0,0.0,0.0,1.0,2.0,95.0,50.0,0.84,1.25,0.0,2.0,55,1,1
1914.0,3000.0,0.0,2050.0,0.0,0.0,1.0,2.0,100.0,54.0,1.57,2.43,0.0,4.8,119,1,0
2500.0,2550.0,0.0,2550.0,0.0,0.0,1.0,3.0,100.0,47.0,1.02,1.25,0.0,2.0,17,1,0
3000.0,2584.0,0.0,2584.0,0.0,0.0,1.0,2.5,100.0,56.0,0.86,0.75,0.0,2.0,90,1,0
3678.0,2270.0,0.0,2270.0,0.0,0.0,1.0,3.0,94.99,41.5,0.62,0.75,0.0,2.0,21,1,0
4493.0,9926.0,9926.0,0.0,1880.0,0.0,1.0,1.5,99.93,99.93,2.21,2.43,0.0,4.8,89,1,0
2500.0,684.0,0.0,684.0,0.0,0.0,1.0,1.0,100.0,38.0,0.27,0.75,0.0,2.0,85,1,1
1625.0,1193.0,0.0,1193.0,0.0,0.0,2.0,2.0,65.0,26.0,0.73,3.44,0.0,4.8,110,1,1
2800.0,2325.0,0.0,2325.0,0.0,0.0,1.0,3.0,100.0,38.5,0.83,1.25,0.0,2.0,33,1,0
2200.0,1890.0,0.0,1890.0,0.0,0.0,2.0,3.0,100.0,35.17,0.86,0.75,0.0,2.0,60,1,0
4428.0,3654.0,0.0,3654.0,0.0,0.0,1.0,3.0,137.42,56.0,0.83,0.75,0.0,2.0,31,1,0
2500.0,3312.0,0.0,3312.0,0.0,0.0,2.0,3.0,100.0,55.0,1.32,3.44,0.0,4.8,90,1,0
2500.0,1726.0,0.0,1726.0,0.0,0.0,2.0,2.0,100.0,29.0,0.69,0.75,0.0,2.0,100,0,0
2800.0,2361.0,0.0,1776.0,0.0,0.0,1.0,2.0,100.0,39.0,0.84,0.75,0.0,2.0,70,1,0
4233.0,2550.0,0.0,2550.0,0.0,0.0,2.0,2.0,100.0,51.0,0.6,0.75,0.0,2.0,21,1,0
2442.0,3628.0,0.0,2928.0,0.0,0.0,1.0,2.0,100.0,70.0,1.49,2.43,0.0,4.8,100,1,0
4750.0,3276.0,0.0,2808.0,0.0,0.0,1.0,3.0,95.0,36.0,0.69,0.75,0.0,2.0,70,1,0
2600.0,1890.0,0.0,1260.0,0.0,0.0,1.0,2.0,100.0,35.0,0.73,0.75,0.0,2.0,70,1,0
4540.0,1984.0,0.0,1012.0,0.0,0.0,1.0,1.0,149.25,50.0,0.44,0.75,0.0,2.0,70,0,1
3410.0,3400.0,3400.0,0.0,0.0,0.0,1.0,1.0,68.17,68.17,1.0,0.75,0.0,2.0,41,1,0
2338.0,1186.0,0.0,1186.0,0.0,0.0,2.0,2.0,96.42,34.0,0.51,0.75,0.0,2.0,100,0,1
1883.0,1718.0,0.0,1718.0,0.0,0.0,2.0,2.5,125.5,36.0,0.91,3.0,0.0,3.0,95,0,1
1781.0,3050.0,0.0,3050.0,0.0,0.0,1.0,3.0,75.0,50.0,1.71,1.25,0.0,2.0,60,1,0
2500.0,1353.0,0.0,882.0,0.0,0.0,1.0,1.0,100.0,42.0,0.54,0.75,0.0,2.0,65,1,0
17230.0,53860.0,0.0,53860.0,0.0,0.0,1.0,5.0,114.85,93.0,3.13,3.0,0.0,3.0,98,1,0
2500.0,3660.0,0.0,2920.0,0.0,0.0,1.0,2.0,100.0,68.0,1.46,2.43,0.0,4.8,100,1,0
6990.0,13991.0,0.0,13991.0,0.0,0.0,1.0,3.0,95.0,65.0,2.0,3.44,0.0,4.8,55,1,0
7609.0,33564.0,0.0,33564.0,0.0,0.0,1.0,6.0,102.33,86.0,4.41,1.25,0.0,2.0,89,0,1
2500.0,3000.0,0.0,3000.0,0.0,0.0,1.0,3.0,100.0,40.0,1.2,3.44,0.0,4.8,21,1,0
2425.0,1330.0,0.0,760.0,0.0,0.0,1.0,1.0,100.0,40.0,0.55,0.75,0.0,2.0,85,1,0
2375.0,2324.0,0.0,2324.0,0.0,0.0,1.0,2.5,95.0,55.0,0.98,0.75,0.0,2.0,105,1,0
1820.0,2983.0,0.0,2983.0,0.0,0.0,1.0,3.0,91.0,51.33,1.64,2.43,0.0,4.8,55,1,0
4750.0,2053.0,0.0,2053.0,0.0,0.0,1.0,2.5,95.0,31.0,0.43,0.5,0.0,1.0,85,1,0
2500.0,2067.0,0.0,2067.0,0.0,0.0,1.0,2.75,100.0,35.0,0.83,0.75,0.0,2.0,100,1,0
2442.0,1782.0,0.0,1296.0,0.0,0.0,1.0,2.0,100.0,40.0,0.73,0.75,0.0,2.0,60,1,0
2300.0,1782.0,0.0,1296.0,0.0,0.0,1.0,2.0,100.0,33.0,0.77,0.75,0.0,2.0,80,0,1
6000.0,20920.0,0.0,20920.0,0.0,0.0,1.0,5.0,100.0,88.0,3.49,3.44,0.0,4.8,92,1,0
2500.0,1600.0,0.0,1600.0,0.0,0.0,1.0,2.0,100.0,40.0,0.64,0.75,0.0,2.0,110,1,0
2500.0,1328.0,0.0,1328.0,0.0,0.0,2.0,2.0,100.0,38.0,0.53,0.75,0.0,2.0,95,1,0
77188.0,147677.0,147677.0,0.0,147677.0,0.0,5.0,3.0,230.0,180.0,1.91,6.02,0.0,6.5,48,1,0
5000.0,2650.0,0.0,2650.0,0.0,0.0,3.0,2.0,100.0,60.0,0.53,0.5,0.0,1.0,100,0,1
2375.0,2375.0,2375.0,0.0,0.0,0.0,1.0,1.0,95.0,95.0,1.0,0.0,1.0,2.4,90,1,0
2642.0,2038.0,0.0,2038.0,0.0,0.0,1.0,2.0,100.0,46.0,0.77,1.25,0.0,2.0,80,1,0
3388.0,3918.0,0.0,2778.0,0.0,0.0,2.0,2.5,95.0,52.0,1.16,1.25,0.0,2.0,95,1,0
2070.0,1566.0,0.0,1080.0,0.0,0.0,1.0,2.0,90.0,35.0,0.76,0.75,0.0,2.0,60,1,0
73172.0,97000.0,97000.0,0.0,0.0,0.0,2.0,2.0,358.67,385.25,1.33,3.44,0.0,4.8,51,1,0
1967.0,2375.0,0.0,1900.0,0.0,0.0,1.0,2.0,100.0,50.0,1.21,1.25,0.0,2.0,70,1,0
1975.0,2612.0,0.0,1900.0,0.0,0.0,1.0,2.0,100.0,50.0,1.32,1.25,0.0,2.0,60,1,0
1980.0,1944.0,0.0,1944.0,0.0,0.0,1.0,3.0,110.0,36.0,0.98,1.25,0.0,2.0,55,1,0
2375.0,4552.0,1632.0,2920.0,0.0,1632.0,2.0,3.0,95.0,60.0,1.92,1.25,0.0,2.0,119,0,1
2856.0,4500.0,0.0,4500.0,0.0,0.0,1.0,3.0,114.25,60.0,1.58,1.25,0.0,2.0,90,1,0
2394.0,2698.0,0.0,2698.0,0.0,0.0,1.0,3.0,114.0,50.0,1.13,1.25,0.0,2.0,50,0,0
1192.0,700.0,700.0,0.0,0.0,700.0,1.0,1.0,97.33,60.0,0.59,2.43,0.0,4.8,90,1,0
5263.0,3264.0,0.0,2176.0,0.0,0.0,2.0,2.0,105.26,52.0,0.62,1.25,0.0,2.0,95,0,1
2375.0,2100.0,0.0,1680.0,0.0,0.0,1.0,2.0,95.0,42.67,0.88,1.25,0.0,2.0,60,1,0
15300.0,72727.0,0.0,72727.0,0.0,0.0,1.0,6.0,125.0,111.0,4.75,3.44,0.0,4.8,90,1,0
1612.0,2200.0,2200.0,0.0,2200.0,0.0,1.0,2.0,80.58,48.0,1.36,2.0,0.0,2.0,61,1,0
1575.0,1152.0,0.0,1152.0,0.0,0.0,1.0,2.0,87.5,32.0,0.73,2.43,0.0,4.8,28,1,0
2500.0,1753.0,0.0,1002.0,0.0,0.0,1.0,1.0,100.0,44.0,0.7,0.75,0.0,2.0,65,1,0
2825.0,2750.0,0.0,2000.0,0.0,0.0,1.0,2.0,100.0,50.0,0.97,1.25,0.0,2.0,60,1,0
2000.0,1840.0,0.0,1840.0,0.0,0.0,1.0,2.0,100.0,46.0,0.92,2.43,0.0,4.8,60,0,1
2500.0,3576.0,0.0,2896.0,0.0,0.0,1.0,2.0,100.0,68.0,1.43,2.43,0.0,4.8,100,0,1
1900.0,3705.0,0.0,3705.0,0.0,0.0,1.0,3.0,100.0,65.0,1.95,3.44,0.0,4.8,14,0,1
1606.0,1384.0,0.0,1384.0,0.0,0.0,1.0,2.0,97.33,45.0,0.86,2.43,0.0,4.8,119,1,0
2467.0,2604.0,0.0,2604.0,0.0,0.0,2.0,2.0,100.0,62.0,1.06,2.43,0.0,4.8,90,0,1
34832.0,4140.0,0.0,3040.0,0.0,0.0,1.0,2.0,137.92,70.0,0.12,0.5,0.0,1.0,45,0,1
13781.0,47037.0,1012.0,46025.0,1012.0,0.0,1.0,5.0,87.42,75.5,3.41,2.43,0.0,4.8,108,1,0
2000.0,1740.0,0.0,1360.0,0.0,0.0,1.0,2.0,100.0,34.0,0.87,2.43,0.0,4.8,80,1,0
3021.0,1168.0,0.0,1168.0,0.0,0.0,1.0,2.0,104.17,39.5,0.39,0.75,0.0,2.0,95,1,0
2860.0,1980.0,0.0,1980.0,0.0,0.0,1.0,2.0,114.42,55.0,0.69,1.1,0.0,2.0,110,0,0
2494.0,1420.0,0.0,1080.0,0.0,0.0,1.0,2.0,95.0,30.0,0.57,0.75,0.0,2.0,70,0,1
2000.0,1424.0,0.0,1424.0,0.0,0.0,1.0,2.0,100.0,35.5,0.71,1.25,0.0,2.0,80,1,0
1900.0,2680.0,0.0,1920.0,0.0,0.0,1.0,2.0,95.0,48.0,1.41,0.75,0.0,2.0,61,1,0
1892.0,1152.0,0.0,1152.0,0.0,0.0,2.0,2.0,97.42,36.0,0.61,0.75,0.0,2.0,95,1,0
2486.0,2260.0,0.0,2260.0,0.0,0.0,1.0,3.0,115.42,50.0,0.91,2.43,0.0,4.8,60,1,0
1950.0,1323.0,0.0,1323.0,0.0,0.0,1.0,1.5,77.5,42.0,0.68,1.25,0.0,2.0,90,1,0
