lotarea,bldgarea,resarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,year,status,complaint
1900.0,1567.0,1254.0,1.0,2.0,100.0,33.0,0.82,1.25,80,1,0
17500.0,71500.0,69500.0,1.0,6.0,100.0,73.0,4.09,2.0,59,1,0
2644.0,2400.0,1600.0,2.0,2.0,109.42,44.0,0.91,0.75,95,1,0
2500.0,3025.0,2200.0,1.0,2.0,100.0,55.0,1.21,0.75,65,1,3
2950.0,3482.0,3482.0,2.0,3.0,100.0,55.0,1.18,1.25,15,0,0
3075.0,2146.0,2146.0,1.0,3.0,99.0,37.0,0.7,0.75,25,1,0
2500.0,3157.0,3157.0,1.0,2.0,100.0,77.0,1.26,0.75,89,1,0
3935.0,2601.0,1248.0,1.0,1.0,95.0,42.0,0.66,0.75,55,1,0
1800.0,1872.0,1188.0,1.0,2.0,100.0,33.0,1.04,0.75,63,1,0
1884.0,2508.0,1824.0,1.0,2.0,95.0,48.0,1.33,0.75,61,0,0
2375.0,1412.0,1412.0,2.0,2.0,95.0,32.0,0.59,0.75,100,1,4
30360.0,139650.0,138450.0,1.0,6.0,151.33,85.0,4.6,6.02,91,1,0
2375.0,1870.0,1870.0,1.0,2.0,95.0,55.0,0.79,0.75,14,1,1
3804.0,3552.0,3552.0,2.0,3.0,114.42,74.0,0.93,2.43,90,1,0
2860.0,1926.0,1926.0,1.0,2.5,114.42,36.0,0.67,2.43,105,1,3
2475.0,3879.0,3879.0,1.0,3.0,99.56,51.0,1.57,3.44,13,1,0
1710.0,1912.0,1332.0,1.0,2.0,95.0,37.0,1.12,1.25,70,1,0
3000.0,3110.0,3110.0,2.0,3.0,100.0,55.0,1.04,1.1,90,1,0
2500.0,3465.0,2310.0,2.0,2.5,100.0,54.0,1.39,1.1,95,1,0
2500.0,3465.0,2310.0,2.0,2.0,100.0,52.0,1.39,1.1,95,1,0
2162.0,2392.0,2392.0,1.0,3.0,94.0,52.0,1.11,1.25,31,1,0
2113.0,1106.0,1106.0,1.0,1.5,95.0,37.0,0.52,1.25,90,0,0
